Chart,Practice,Code Smells,Total Lines,Ratio
alertmanager,configmap_sensitive_values,0,1220,0.00%
alertmanager,standard_labels,4,1220,0.33%
alertmanager,count_embedded_objects,16,1220,1.31%
alertmanager,count_http_only_repositories,0,1220,0.00%
alertmanager,count_nonrange_versions,0,1220,0.00%
alertmanager,count_tabs,0,1220,0.00%
alertmanager,has_helper_file,0,1220,0.00%
alertmanager,include_indent_required,30,1220,2.46%
alertmanager,chart_name_format,0,1220,0.00%
alertmanager,namespaced_template_definitions,0,1220,0.00%
alertmanager-snmp-notifier,configmap_sensitive_values,0,621,0.00%
alertmanager-snmp-notifier,standard_labels,5,621,0.81%
alertmanager-snmp-notifier,count_embedded_objects,7,621,1.13%
alertmanager-snmp-notifier,count_http_only_repositories,0,621,0.00%
alertmanager-snmp-notifier,count_nonrange_versions,0,621,0.00%
alertmanager-snmp-notifier,count_tabs,0,621,0.00%
alertmanager-snmp-notifier,has_helper_file,0,621,0.00%
alertmanager-snmp-notifier,include_indent_required,10,621,1.61%
alertmanager-snmp-notifier,chart_name_format,0,621,0.00%
alertmanager-snmp-notifier,namespaced_template_definitions,0,621,0.00%
ambient,configmap_sensitive_values,0,46,0.00%
ambient,standard_labels,0,46,0.00%
ambient,count_embedded_objects,4,46,8.70%
ambient,count_http_only_repositories,0,46,0.00%
ambient,count_nonrange_versions,4,46,8.70%
ambient,count_tabs,0,46,0.00%
ambient,has_helper_file,1,46,2.17%
ambient,include_indent_required,0,46,0.00%
ambient,chart_name_format,0,46,0.00%
ambient,namespaced_template_definitions,0,46,0.00%
argo-cd,configmap_sensitive_values,0,35876,0.00%
argo-cd,standard_labels,12,35876,0.03%
argo-cd,count_embedded_objects,15,35876,0.04%
argo-cd,count_http_only_repositories,0,35876,0.00%
argo-cd,count_nonrange_versions,1,35876,0.00%
argo-cd,count_tabs,0,35876,0.00%
argo-cd,has_helper_file,1,35876,0.00%
argo-cd,include_indent_required,227,35876,0.63%
argo-cd,chart_name_format,0,35876,0.00%
argo-cd,namespaced_template_definitions,0,35876,0.00%
argo-events,configmap_sensitive_values,0,1601,0.00%
argo-events,standard_labels,5,1601,0.31%
argo-events,count_embedded_objects,5,1601,0.31%
argo-events,count_http_only_repositories,0,1601,0.00%
argo-events,count_nonrange_versions,0,1601,0.00%
argo-events,count_tabs,0,1601,0.00%
argo-events,has_helper_file,0,1601,0.00%
argo-events,include_indent_required,35,1601,2.19%
argo-events,chart_name_format,0,1601,0.00%
argo-events,namespaced_template_definitions,0,1601,0.00%
argo-rollouts,configmap_sensitive_values,0,18382,0.00%
argo-rollouts,standard_labels,9,18382,0.05%
argo-rollouts,count_embedded_objects,9,18382,0.05%
argo-rollouts,count_http_only_repositories,0,18382,0.00%
argo-rollouts,count_nonrange_versions,0,18382,0.00%
argo-rollouts,count_tabs,0,18382,0.00%
argo-rollouts,has_helper_file,0,18382,0.00%
argo-rollouts,include_indent_required,48,18382,0.26%
argo-rollouts,chart_name_format,0,18382,0.00%
argo-rollouts,namespaced_template_definitions,0,18382,0.00%
argo-workflows,configmap_sensitive_values,0,156979,0.00%
argo-workflows,standard_labels,27,156979,0.02%
argo-workflows,count_embedded_objects,10,156979,0.01%
argo-workflows,count_http_only_repositories,0,156979,0.00%
argo-workflows,count_nonrange_versions,0,156979,0.00%
argo-workflows,count_tabs,0,156979,0.00%
argo-workflows,has_helper_file,0,156979,0.00%
